INFO 2025-09-28 02:40:50,864 middleware 13540 1604 Request: GET /api/v1/courses/courses/1b5eab42-696d-48a0-ae37-cad9f8ea9968/
INFO 2025-09-28 02:40:51,494 middleware 13540 1604 Response: 200 - Duration: 0.63s
INFO 2025-09-28 02:40:51,496 basehttp 13540 1604 "GET /api/v1/courses/courses/1b5eab42-696d-48a0-ae37-cad9f8ea9968/ HTTP/1.1" 200 722
INFO 2025-09-28 02:40:51,552 middleware 13540 1604 Request: GET /api/v1/universities/universities/
INFO 2025-09-28 02:40:51,690 middleware 13540 1604 Response: 200 - Duration: 0.14s
INFO 2025-09-28 02:40:51,692 basehttp 13540 1604 "GET /api/v1/universities/universities/ HTTP/1.1" 200 522
INFO 2025-09-28 02:40:56,754 middleware 13540 14848 Request: GET /api/v1/courses/courses/
INFO 2025-09-28 02:40:57,153 middleware 13540 14848 Response: 200 - Duration: 0.40s
INFO 2025-09-28 02:40:57,154 basehttp 13540 14848 "GET /api/v1/courses/courses/ HTTP/1.1" 200 1545
INFO 2025-09-28 02:40:57,157 middleware 13540 14848 Request: GET /api/v1/courses/courses/
INFO 2025-09-28 02:40:57,190 middleware 13540 14848 Response: 200 - Duration: 0.03s
INFO 2025-09-28 02:40:57,195 basehttp 13540 14848 "GET /api/v1/courses/courses/ HTTP/1.1" 200 1545
INFO 2025-09-29 14:30:04,530 autoreload 5700 7724 Watching for file changes with StatReloader
INFO 2025-09-29 14:34:16,037 middleware 5700 14232 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:34:16,483 middleware 5700 14232 Response: 200 - Duration: 0.45s
INFO 2025-09-29 14:34:16,537 basehttp 5700 14232 "GET /api/v1/courses/courses/ HTTP/1.1" 200 1545
INFO 2025-09-29 14:34:16,638 middleware 5700 14232 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:34:16,756 middleware 5700 14232 Response: 200 - Duration: 0.12s
INFO 2025-09-29 14:34:16,777 basehttp 5700 14232 "GET /api/v1/courses/courses/ HTTP/1.1" 200 1545
INFO 2025-09-29 14:35:14,548 middleware 5700 6316 Request: GET /api/v1/universities/universities/
INFO 2025-09-29 14:35:14,565 middleware 5700 6316 Response: 200 - Duration: 0.02s
INFO 2025-09-29 14:35:14,566 basehttp 5700 6316 "GET /api/v1/universities/universities/ HTTP/1.1" 200 522
INFO 2025-09-29 14:35:14,569 middleware 5700 6316 Request: GET /api/v1/universities/universities/
INFO 2025-09-29 14:35:14,575 middleware 5700 6316 Response: 200 - Duration: 0.01s
INFO 2025-09-29 14:35:14,577 basehttp 5700 6316 "GET /api/v1/universities/universities/ HTTP/1.1" 200 522
INFO 2025-09-29 14:35:14,651 middleware 5700 6316 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:35:14,731 middleware 5700 6316 Response: 200 - Duration: 0.08s
INFO 2025-09-29 14:35:14,733 basehttp 5700 6316 "GET /api/v1/courses/courses/?university_code=ku01 HTTP/1.1" 200 849
INFO 2025-09-29 14:35:14,737 middleware 5700 6316 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:35:14,751 middleware 5700 6316 Response: 200 - Duration: 0.01s
INFO 2025-09-29 14:35:14,753 basehttp 5700 6316 "GET /api/v1/courses/courses/?university_code=kisii01 HTTP/1.1" 200 468
INFO 2025-09-29 14:35:14,756 middleware 5700 6316 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:35:14,781 middleware 5700 6316 Response: 200 - Duration: 0.02s
INFO 2025-09-29 14:35:14,783 basehttp 5700 6316 "GET /api/v1/courses/courses/?university_code=maseno001 HTTP/1.1" 200 458
INFO 2025-09-29 14:35:14,786 middleware 5700 6316 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:35:14,818 middleware 5700 6316 Response: 200 - Duration: 0.03s
INFO 2025-09-29 14:35:14,846 basehttp 5700 6316 "GET /api/v1/courses/courses/?university_code=ku01 HTTP/1.1" 200 849
INFO 2025-09-29 14:35:14,854 middleware 5700 14224 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:35:14,857 middleware 5700 6316 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:35:14,930 middleware 5700 14224 Response: 200 - Duration: 0.08s
INFO 2025-09-29 14:35:14,946 basehttp 5700 14224 "GET /api/v1/courses/courses/?university_code=kisii01 HTTP/1.1" 200 468
INFO 2025-09-29 14:35:14,963 middleware 5700 6316 Response: 200 - Duration: 0.11s
INFO 2025-09-29 14:35:14,971 basehttp 5700 6316 "GET /api/v1/courses/courses/?university_code=maseno001 HTTP/1.1" 200 458
INFO 2025-09-29 14:37:50,363 middleware 5700 13440 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:37:50,388 middleware 5700 13440 Response: 200 - Duration: 0.03s
INFO 2025-09-29 14:37:50,395 basehttp 5700 13440 "GET /api/v1/courses/courses/ HTTP/1.1" 200 1545
INFO 2025-09-29 14:37:50,399 middleware 5700 13440 Request: GET /api/v1/courses/courses/
INFO 2025-09-29 14:37:50,432 middleware 5700 13440 Response: 200 - Duration: 0.03s
INFO 2025-09-29 14:37:50,434 basehttp 5700 13440 "GET /api/v1/courses/courses/ HTTP/1.1" 200 1545
INFO 2025-09-29 14:38:10,790 middleware 5700 6544 Request: GET /api/v1/courses/courses/1b5eab42-696d-48a0-ae37-cad9f8ea9968/
INFO 2025-09-29 14:38:10,991 middleware 5700 6544 Response: 200 - Duration: 0.20s
INFO 2025-09-29 14:38:10,993 basehttp 5700 6544 "GET /api/v1/courses/courses/1b5eab42-696d-48a0-ae37-cad9f8ea9968/ HTTP/1.1" 200 722
INFO 2025-09-29 14:38:10,996 middleware 5700 6544 Request: GET /api/v1/courses/courses/1b5eab42-696d-48a0-ae37-cad9f8ea9968/
INFO 2025-09-29 14:38:11,012 middleware 5700 6544 Response: 200 - Duration: 0.02s
INFO 2025-09-29 14:38:11,013 basehttp 5700 6544 "GET /api/v1/courses/courses/1b5eab42-696d-48a0-ae37-cad9f8ea9968/ HTTP/1.1" 200 722
INFO 2025-09-29 14:38:11,016 middleware 5700 6544 Request: GET /api/v1/universities/universities/
INFO 2025-09-29 14:38:11,024 middleware 5700 6544 Response: 200 - Duration: 0.01s
INFO 2025-09-29 14:38:11,027 basehttp 5700 6544 "GET /api/v1/universities/universities/ HTTP/1.1" 200 522
INFO 2025-09-29 14:38:11,040 middleware 5700 6544 Request: GET /api/v1/universities/universities/
INFO 2025-09-29 14:38:11,049 middleware 5700 6544 Response: 200 - Duration: 0.01s
INFO 2025-09-29 14:38:11,050 basehttp 5700 6544 "GET /api/v1/universities/universities/ HTTP/1.1" 200 522
INFO 2025-09-29 14:39:33,033 middleware 5700 13084 Request: GET /api/v1/courses/subjects/
INFO 2025-09-29 14:39:33,072 middleware 5700 13084 Response: 200 - Duration: 0.04s
